designador;coord_raw;lat;lon;ruta;wgs84_calculado
LIO;095747,31157N  0830137,81283W;9.963142102777779;-83.02717023055554;;FALSE
BELEN;095749,0N 0841250,3W;9.96361111111111;-84.21397222222224;AD-2.MROC CYRUS VP RWY  25 MROC - MRPV;FALSE
CYRUS;0958,3N 08416,3W;9.9675;-84.2675;AD-2.MROC CYRUS VP RWY  25 MROC - MRPV;FALSE
CASTE;095810,3N 0840847,6W;9.96952777777778;-84.14655555555555;AD-2.MRPV TADAC;FALSE
MACDO;095814,6N 0840655,8W;9.970722222222223;-84.11550000000001;;FALSE
VALEN;095816,3N 0840823,6W;9.971194444444446;-84.13988888888889;;FALSE
PEDRE;095829,5N 0841046,4W;9.974861111111112;-84.17955555555557;ENR_3_VFRHRC;FALSE
CLARA;095831,6N 0834326,1W;9.975444444444447;-83.72391666666667;B690;FALSE
BAREA;095839,2N 0840835,0W;9.977555555555554;-84.14305555555556;AD-2.MRPV TADAC;FALSE
EPABE;095842.0N, 0840942.0W;9.978333333333333;-84.16166666666668;AD-2.MROC CYRUS VP RWY 25  MROC - MRPV;FALSE
PADUR;095847,3N 0823550,5W;9.979805555555556;-82.59736111111111;UM796;FALSE
MINGO;095849,3N 0840535,6W;9.980361111111112;-84.09322222222221;;FALSE
SANAT;095849,3N 0841129,6W;9.980361111111112;-84.19155555555555;CV;FALSE
TIO;095901,20335N 0841410,17547W;9.98366759722222;-84.23615985277779;;FALSE
AMAZO;095905,4N 0840916,7W;9.98483333333333;-84.15463888888888;;FALSE
ATENA;095912,0N 0842258,4W;9.986666666666666;-84.38288888888889;CV C;FALSE
ITABO;095914,8N 0840301,8W;9.987444444444444;-84.05050000000001;AD-2.MRPV TADAC;FALSE
SASAY;102352,9W 0840822,6W;10.3980278;-84.13961111111111;B767;FALSE
